127.0.0.1 - - [25/Feb/2020:10:37:38 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:37:39 +0530] "GET /CDE_IT/views/index.html HTTP/1.1" 200 5104
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:37:39 +0530] "GET /CDE_IT/style/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:37:39 +0530] "GET /CDE_IT/style/bootsrtap.min.css HTTP/1.1" 200 159521
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:37:39 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:49 +0530] "GET /CDE_IT/views/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:49 +0530] "GET /CDE_IT/style/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:50 +0530] "GET /CDE_IT/style/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:50 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:51 +0530] "GET /CDE_IT/views/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:51 +0530] "GET /CDE_IT/style/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:51 +0530] "GET /CDE_IT/style/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:38:51 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 200 2545
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:05 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:56 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:56 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:56 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:56 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:57 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:57 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:39:58 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 200 159521
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:40:54 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:14 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/views/Control-structures.html HTTP/1.1" 200 2563
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/views/CSS/IT18014914-main.css HTTP/1.1" 404 757
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/style/CSS/bootsrtap.min.css HTTP/1.1" 200 159521
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/style/CSS/jquery.min.js HTTP/1.1" 200 88147
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/views/freelogo.png HTTP/1.1" 404 742
0:0:0:0:0:0:0:1 - - [25/Feb/2020:10:42:25 +0530] "GET /CDE_IT/views/print.png HTTP/1.1" 404 739
